,SummonerName,MatchName,Kills,KillDiff,Deaths,DeathDiff,Assists,AssistDiff,CS,CSDiff,Gold,GoldDiff,Win,Champion,OppChamp,GameTime,CSPerMin
21,V1PER,EFA-vs-TLA,8.0,5.0,0.0,-5.0,4.0,2.0,336.0,63.0,16600,5100.0,1.0,Riven,Ornn,31.5,10.666666666666666
22,Brandini,TSMA-vs-EFA,0.0,-1.0,1.0,0.0,1.0,-3.0,235.0,-5.0,10400,-200.0,0.0,Camille,Poppy,27.13,8.661997788426097
23,V1PER,TLA-vs-FQA,6.0,4.0,2.0,-3.0,8.0,5.0,323.0,53.0,15500,4100.0,1.0,Camille,Maokai,34.05,9.486049926578561
24,V1PER,CLGA-vs-TLA,4.0,2.0,1.0,0.0,3.0,0.0,346.0,69.0,14100,1500.0,0.0,Riven,Sion,32.39,10.682309354739116
25,Brandini,100TA-vs-TSMA,1.0,-3.0,3.0,3.0,2.0,-1.0,333.0,59.0,13000,-700.0,0.0,Vladimir,Gnar,38.06,8.749343142406726
26,V1PER,TLA-vs-100TA,5.0,4.0,0.0,-2.0,6.0,6.0,237.0,56.0,11800,4400.0,1.0,Lucian,Cho'Gath,24.08,9.8421926910299
27,Brandini,TSMA-vs-FQA,1.0,0.0,6.0,3.0,5.0,-9.0,294.0,41.0,13700,-400.0,0.0,Gnar,Maokai,41.45,7.092882991556091
28,V1PER,TLA-vs-CGA,1.0,0.0,0.0,-3.0,10.0,9.0,232.0,-29.0,11500,1000.0,1.0,Shen,Trundle,30.08,7.712765957446809
29,Brandini,C9A-vs-TSMA,3.0,2.0,3.0,2.0,1.0,-11.0,317.0,32.0,16600,4200.0,0.0,Gangplank,Shen,33.36,9.502398081534773
30,V1PER,TLA-vs-TSMA,1.0,0.0,4.0,2.0,4.0,-9.0,324.0,-6.0,12700,-3900.0,0.0,Sion,Shen,38.02,8.521830615465543
